Issue #,Issue Opened Time (s),Issue Closed Time (s),Issue Total Alive Time (s),Label Name,Label Action,Event Time (s),Update Time (s),User Name,Num of Comments,Milestone Name,Milestone Created Time (s),Milestone Closed Time (s),Milestone Due Date (s),Milestone Total Issues
21,1424095735.0,1424815974.0,720239.0,deployment,unlabeled,1424815986.0,1424874435.0,C,11,v0.1,1424538641.0,1425168047.0,1425013200.0,3
22,1424120865.0,1425069792.0,948927.0,resources,labeled,1424120865.0,1425069792.0,C,2,None,None,None,None,0
23,1424381140.0,1425421434.0,1040294.0,feature QA,labeled,1425396457.0,1425421434.0,B,5,v0.2,1424538774.0,1425790322.0,1425618000.0,4
23,1424381140.0,1425421434.0,1040294.0,feature dev,labeled,1425396457.0,1425421434.0,B,5,v0.2,1424538774.0,1425790322.0,1425618000.0,4
23,1424381140.0,1425421434.0,1040294.0,feature complete,labeled,1425421444.0,1425421434.0,B,5,v0.2,1424538774.0,1425790322.0,1425618000.0,4
23,1424381140.0,1425421434.0,1040294.0,feature dev,unlabeled,1425421444.0,1425421434.0,B,5,v0.2,1424538774.0,1425790322.0,1425618000.0,4
23,1424381140.0,1425421434.0,1040294.0,feature QA,unlabeled,1425421444.0,1425421434.0,B,5,v0.2,1424538774.0,1425790322.0,1425618000.0,4
25,1424390986.0,1425069792.0,678806.0,question,labeled,1424390986.0,1425069792.0,B,9,None,None,None,None,0
26,1424443060.0,1424448765.0,5705.0,bug,labeled,1424443060.0,1424448765.0,C,1,None,None,None,None,0
27,1424448940.0,1425265030.0,816090.0,feature dev,labeled,1424448940.0,1425265030.0,B,3,None,None,None,None,0
28,1424640252.0,1425400874.0,760622.0,feature request,labeled,1424640252.0,1425400874.0,A,2,None,None,None,None,0
28,1424640252.0,1425400874.0,760622.0,feature dev,labeled,1424838977.0,1425400874.0,A,2,None,None,None,None,0
28,1424640252.0,1425400874.0,760622.0,feature request,unlabeled,1424838977.0,1425400874.0,A,2,None,None,None,None,0
29,1424702112.0,1424733507.0,31395.0,bug,labeled,1424702112.0,1424968692.0,C,8,None,None,None,None,0
30,1424816038.0,1425085706.0,269668.0,branch,labeled,1424816038.0,1425094956.0,C,4,v0.1,1424538641.0,1425168047.0,1425013200.0,3
30,1424816038.0,1425085706.0,269668.0,deployment,labeled,1424816038.0,1425094956.0,C,4,v0.1,1424538641.0,1425168047.0,1425013200.0,3
31,1424816447.0,1426536187.0,1719740.0,bug,labeled,1424816447.0,1426536187.0,C,17,None,None,None,None,0
31,1424816447.0,1426536187.0,1719740.0,testing,labeled,1424816447.0,1426536187.0,C,17,None,None,None,None,0
32,1425067426.0,1425418792.0,351366.0,feature request,labeled,1425067426.0,1425418792.0,B,2,v0.2,1424538774.0,1425790322.0,1425618000.0,4
33,1425067706.0,1427598285.0,2530579.0,feature request,labeled,1425103298.0,1427598285.0,A,3,None,None,None,None,0
33,1425067706.0,1427598285.0,2530579.0,wontfix,labeled,1427598282.0,1427598285.0,B,3,None,None,None,None,0
33,1425067706.0,1427598285.0,2530579.0,1. feature request,unlabeled,1427598282.0,1427598285.0,B,3,None,None,None,None,0
34,1425067716.0,1425421390.0,353674.0,feature request,labeled,1425067717.0,1425421390.0,B,2,v0.2,1424538774.0,1425790322.0,1425618000.0,4
34,1425067716.0,1425421390.0,353674.0,feature QA,labeled,1425332198.0,1425421390.0,B,2,v0.2,1424538774.0,1425790322.0,1425618000.0,4
34,1425067716.0,1425421390.0,353674.0,feature request,unlabeled,1425332198.0,1425421390.0,B,2,v0.2,1424538774.0,1425790322.0,1425618000.0,4
34,1425067716.0,1425421390.0,353674.0,feature complete,labeled,1425421396.0,1425421390.0,B,2,v0.2,1424538774.0,1425790322.0,1425618000.0,4
34,1425067716.0,1425421390.0,353674.0,feature QA,unlabeled,1425421396.0,1425421390.0,B,2,v0.2,1424538774.0,1425790322.0,1425618000.0,4
35,1425067879.0,1426131345.0,1063466.0,feature request,labeled,1425103319.0,1426131345.0,A,2,v0.3,1425067829.0,1426680477.0,1426219200.0,6
35,1425067879.0,1426131345.0,1063466.0,2a. feature dev,labeled,1426091522.0,1426131345.0,A,2,v0.3,1425067829.0,1426680477.0,1426219200.0,6
35,1425067879.0,1426131345.0,1063466.0,1. feature request,unlabeled,1426091522.0,1426131345.0,A,2,v0.3,1425067829.0,1426680477.0,1426219200.0,6
35,1425067879.0,1426131345.0,1063466.0,3. feature QA,labeled,1426114499.0,1426131345.0,A,2,v0.3,1425067829.0,1426680477.0,1426219200.0,6
35,1425067879.0,1426131345.0,1063466.0,2a. feature dev,unlabeled,1426114499.0,1426131345.0,A,2,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,feature request,labeled,1425103334.0,1426249400.0,A,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,2a. feature dev,labeled,1426182430.0,1426249400.0,B,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,1. feature request,unlabeled,1426182430.0,1426249400.0,B,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,3. feature QA,labeled,1426187760.0,1426249400.0,B,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,2a. feature dev,unlabeled,1426187760.0,1426249400.0,B,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,4. feature complete,labeled,1426249400.0,1426249400.0,B,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
36,1425067938.0,1426249396.0,1181458.0,3. feature QA,unlabeled,1426249400.0,1426249400.0,B,5,v0.3,1425067829.0,1426680477.0,1426219200.0,6
37,1425068011.0,1426443130.0,1375119.0,feature request,labeled,1425103355.0,1426443130.0,A,8,v0.3,1425067829.0,1426680477.0,1426219200.0,6
37,1425068011.0,1426443130.0,1375119.0,2a. feature dev,labeled,1426200160.0,1426443130.0,B,8,v0.3,1425067829.0,1426680477.0,1426219200.0,6
37,1425068011.0,1426443130.0,1375119.0,1. feature request,unlabeled,1426200160.0,1426443130.0,B,8,v0.3,1425067829.0,1426680477.0,1426219200.0,6
37,1425068011.0,1426443130.0,1375119.0,4. feature complete,labeled,1426443129.0,1426443130.0,B,8,v0.3,1425067829.0,1426680477.0,1426219200.0,6
37,1425068011.0,1426443130.0,1375119.0,2a. feature dev,unlabeled,1426443129.0,1426443130.0,B,8,v0.3,1425067829.0,1426680477.0,1426219200.0,6
38,1425068776.0,1426091307.0,1022531.0,feature request,labeled,1425103364.0,1426091307.0,A,4,v0.3,1425067829.0,1426680477.0,1426219200.0,6
38,1425068776.0,1426091307.0,1022531.0,2a. feature dev,labeled,1425823917.0,1426091307.0,A,4,v0.3,1425067829.0,1426680477.0,1426219200.0,6
38,1425068776.0,1426091307.0,1022531.0,1. feature request,unlabeled,1425823917.0,1426091307.0,A,4,v0.3,1425067829.0,1426680477.0,1426219200.0,6
38,1425068776.0,1426091307.0,1022531.0,3. feature QA,labeled,1426089991.0,1426091307.0,A,4,v0.3,1425067829.0,1426680477.0,1426219200.0,6
38,1425068776.0,1426091307.0,1022531.0,2a. feature dev,unlabeled,1426089991.0,1426091307.0,A,4,v0.3,1425067829.0,1426680477.0,1426219200.0,6
39,1425098527.0,1425167305.0,68778.0,bug,labeled,1425098527.0,1426192522.0,B,2,None,None,None,None,0
39,1425098527.0,1425167305.0,68778.0,feature QA,labeled,1425102807.0,1426192522.0,A,2,None,None,None,None,0
39,1425098527.0,1425167305.0,68778.0,bug,unlabeled,1425102807.0,1426192522.0,A,2,None,None,None,None,0
39,1425098527.0,1425167305.0,68778.0,4. feature complete,labeled,1426192522.0,1426192522.0,A,2,None,None,None,None,0
39,1425098527.0,1425167305.0,68778.0,3. feature QA,unlabeled,1426192522.0,1426192522.0,A,2,None,None,None,None,0
40,1425419086.0,1426518649.0,1099563.0,feature dev,labeled,1425419333.0,1426518653.0,C,63,v0.3,1425067829.0,1426680477.0,1426219200.0,6
40,1425419086.0,1426518649.0,1099563.0,3. feature QA,labeled,1426459366.0,1426518653.0,B,63,v0.3,1425067829.0,1426680477.0,1426219200.0,6
40,1425419086.0,1426518649.0,1099563.0,2a. feature dev,unlabeled,1426459366.0,1426518653.0,B,63,v0.3,1425067829.0,1426680477.0,1426219200.0,6
40,1425419086.0,1426518649.0,1099563.0,4. feature complete,labeled,1426518653.0,1426518653.0,B,63,v0.3,1425067829.0,1426680477.0,1426219200.0,6
40,1425419086.0,1426518649.0,1099563.0,3. feature QA,unlabeled,1426518653.0,1426518653.0,B,63,v0.3,1425067829.0,1426680477.0,1426219200.0,6
41,1425611717.0,1426372821.0,761104.0,1. feature request,labeled,1425611717.0,1426449238.0,A,3,None,None,None,None,0
41,1425611717.0,1426372821.0,761104.0,2a. feature dev,labeled,1426253823.0,1426449238.0,A,3,None,None,None,None,0
41,1425611717.0,1426372821.0,761104.0,1. feature request,unlabeled,1426253823.0,1426449238.0,A,3,None,None,None,None,0
41,1425611717.0,1426372821.0,761104.0,3. feature QA,labeled,1426287566.0,1426449238.0,A,3,None,None,None,None,0
41,1425611717.0,1426372821.0,761104.0,2a. feature dev,unlabeled,1426287566.0,1426449238.0,A,3,None,None,None,None,0
41,1425611717.0,1426372821.0,761104.0,4. feature complete,labeled,1426449238.0,1426449238.0,A,3,None,None,None,None,0
41,1425611717.0,1426372821.0,761104.0,3. feature QA,unlabeled,1426449238.0,1426449238.0,A,3,None,None,None,None,0
42,1425748153.0,1425748285.0,132.0,testing,labeled,1425748153.0,1425748285.0,A,1,v0.2,1424538774.0,1425790322.0,1425618000.0,4
43,1426373481.0,1426448537.0,75056.0,1. feature request,labeled,1426373481.0,1426449207.0,A,4,None,None,None,None,0
43,1426373481.0,1426448537.0,75056.0,2a. feature dev,labeled,1426433868.0,1426449207.0,A,4,None,None,None,None,0
43,1426373481.0,1426448537.0,75056.0,1. feature request,unlabeled,1426433868.0,1426449207.0,A,4,None,None,None,None,0
43,1426373481.0,1426448537.0,75056.0,3. feature QA,labeled,1426442745.0,1426449207.0,A,4,None,None,None,None,0
43,1426373481.0,1426448537.0,75056.0,2a. feature dev,unlabeled,1426442745.0,1426449207.0,A,4,None,None,None,None,0
43,1426373481.0,1426448537.0,75056.0,4. feature complete,labeled,1426449207.0,1426449207.0,A,4,None,None,None,None,0
43,1426373481.0,1426448537.0,75056.0,3. feature QA,unlabeled,1426449207.0,1426449207.0,A,4,None,None,None,None,0
44,1426374012.0,1427028897.0,654885.0,1. feature request,labeled,1426374012.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
44,1426374012.0,1427028897.0,654885.0,2a. feature dev,labeled,1426562750.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
44,1426374012.0,1427028897.0,654885.0,1. feature request,unlabeled,1426562750.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
44,1426374012.0,1427028897.0,654885.0,3. feature QA,labeled,1426908776.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
44,1426374012.0,1427028897.0,654885.0,2a. feature dev,unlabeled,1426908776.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
44,1426374012.0,1427028897.0,654885.0,4. feature complete,labeled,1427028913.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
44,1426374012.0,1427028897.0,654885.0,3. feature QA,unlabeled,1427028913.0,1427028913.0,A,11,v0.4,1425068138.0,1427123016.0,1426824000.0,6
45,1426377803.0,1426555493.0,177690.0,5. bug,labeled,1426377803.0,1426555493.0,C,6,None,None,None,None,0
46,1426442570.0,1426442645.0,75.0,5. bug,labeled,1426442570.0,1426442929.0,C,3,None,None,None,None,0
47,1426449036.0,1427575012.0,1125976.0,1. feature request,labeled,1426449036.0,1427575012.0,A,12,None,None,None,None,0
47,1426449036.0,1427575012.0,1125976.0,3. feature QA,labeled,1427568225.0,1427575012.0,B,12,None,None,None,None,0
47,1426449036.0,1427575012.0,1125976.0,1. feature request,unlabeled,1427568225.0,1427575012.0,B,12,None,None,None,None,0
47,1426449036.0,1427575012.0,1125976.0,4. feature complete,labeled,1427575008.0,1427575012.0,B,12,None,None,None,None,0
47,1426449036.0,1427575012.0,1125976.0,3. feature QA,unlabeled,1427575008.0,1427575012.0,B,12,None,None,None,None,0
48,1426512414.0,1426880714.0,368300.0,2a. feature dev,labeled,1426512414.0,1427054575.0,C,25,v0.4,1425068138.0,1427123016.0,1426824000.0,6
49,1426513355.0,1426653121.0,139766.0,2a. feature dev,labeled,1426513355.0,1426653125.0,C,26,v0.4,1425068138.0,1427123016.0,1426824000.0,6
49,1426513355.0,1426653121.0,139766.0,3. feature QA,labeled,1426543948.0,1426653125.0,B,26,v0.4,1425068138.0,1427123016.0,1426824000.0,6
49,1426513355.0,1426653121.0,139766.0,2a. feature dev,unlabeled,1426543948.0,1426653125.0,B,26,v0.4,1425068138.0,1427123016.0,1426824000.0,6
49,1426513355.0,1426653121.0,139766.0,4. feature complete,labeled,1426653125.0,1426653125.0,B,26,v0.4,1425068138.0,1427123016.0,1426824000.0,6
49,1426513355.0,1426653121.0,139766.0,3. feature QA,unlabeled,1426653125.0,1426653125.0,B,26,v0.4,1425068138.0,1427123016.0,1426824000.0,6
50,1426513501.0,1426814425.0,300924.0,2a. feature dev,labeled,1426513501.0,1426814425.0,C,5,v0.4,1425068138.0,1427123016.0,1426824000.0,6
51,1426540582.0,1427230394.0,689812.0,1. feature request,labeled,1426540582.0,1427230399.0,A,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
51,1426540582.0,1427230394.0,689812.0,2a. feature dev,labeled,1427139925.0,1427230399.0,B,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
51,1426540582.0,1427230394.0,689812.0,1. feature request,unlabeled,1427139925.0,1427230399.0,B,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
51,1426540582.0,1427230394.0,689812.0,3. feature QA,labeled,1427156172.0,1427230399.0,B,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
51,1426540582.0,1427230394.0,689812.0,2a. feature dev,unlabeled,1427156172.0,1427230399.0,B,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
51,1426540582.0,1427230394.0,689812.0,4. feature complete,labeled,1427230399.0,1427230399.0,B,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
51,1426540582.0,1427230394.0,689812.0,3. feature QA,unlabeled,1427230399.0,1427230399.0,B,18,v0.5,1425068413.0,1427661918.0,1427428800.0,11
52,1426645307.0,1426855064.0,209757.0,4. feature complete,labeled,1426855071.0,1426855071.0,B,2,v0.4,1425068138.0,1427123016.0,1426824000.0,6
53,1426698843.0,1427081678.0,382835.0,1. feature request,labeled,1426698843.0,1427122064.0,A,38,v0.4,1425068138.0,1427123016.0,1426824000.0,6
53,1426698843.0,1427081678.0,382835.0,2a. feature dev,labeled,1427028923.0,1427122064.0,A,38,v0.4,1425068138.0,1427123016.0,1426824000.0,6
53,1426698843.0,1427081678.0,382835.0,1. feature request,unlabeled,1427028923.0,1427122064.0,A,38,v0.4,1425068138.0,1427123016.0,1426824000.0,6
53,1426698843.0,1427081678.0,382835.0,3. feature QA,labeled,1427079191.0,1427122064.0,A,38,v0.4,1425068138.0,1427123016.0,1426824000.0,6
53,1426698843.0,1427081678.0,382835.0,2a. feature dev,unlabeled,1427079191.0,1427122064.0,A,38,v0.4,1425068138.0,1427123016.0,1426824000.0,6
